commodity_name,sales_month,historical_avg_price,procurement_action
ONION,1,2347.25,Standard
ONION,2,2642.03,Standard
ONION,3,2393.43,Standard
ONION,4,2128.4,"Favorable Buying Window"
ONION,5,2081.68,"Cheapest Month (Max Buy)"
ONION,6,2224.59,"Favorable Buying Window"
ONION,7,2673.53,Standard
ONION,8,3022.87,Standard
ONION,9,3666.92,Standard
ONION,10,3719.57,Standard
ONION,11,3811.7,"Most Expensive Month (Sell/Avoid)"
ONION,12,2776.17,Standard
POTATO,1,1899,Standard
POTATO,2,1758.47,"Cheapest Month (Max Buy)"
POTATO,3,1832.47,"Favorable Buying Window"
POTATO,4,1902.68,Standard
POTATO,5,2027.93,Standard
POTATO,6,1850.68,"Favorable Buying Window"
POTATO,7,2307.28,Standard
POTATO,8,2358.63,Standard
POTATO,9,2599.8,Standard
POTATO,10,2610.57,"Most Expensive Month (Sell/Avoid)"
POTATO,11,2607.56,Standard
POTATO,12,2447.6,Standard
TOMATO,1,6150.55,Standard
TOMATO,2,6377.02,Standard
TOMATO,3,6341.45,Standard
TOMATO,4,6765.62,Standard
TOMATO,5,7245.6,"Most Expensive Month (Sell/Avoid)"
TOMATO,6,2927.18,"Cheapest Month (Max Buy)"
TOMATO,7,7202.36,Standard
TOMATO,8,4381.42,Standard
TOMATO,9,3652.09,"Favorable Buying Window"
TOMATO,10,4285.39,Standard
TOMATO,11,5256.21,Standard
TOMATO,12,4257.09,"Favorable Buying Window"
