"location_id";"state";"district";"market"
"3746d55f8496249452b14aa35b90ba43";"HARYANA";"AMBALA";"UNKNOWN"
"74f22d90f1980c09c66ac5334eeb75f7";"HIMACHAL PRADESH";"MANDI";"MANDI(TAKOLI)"
"e9895cca67315bd67c486472a9c7fa1d";"RAJASTHAN";"PRATAPGARH";"PRATAPGARH"
"316cdd274cec4147f34925c3d539019f";"HARYANA";"PANIPAT";"PANIPAT"
"c305f7ac5cd20b962170e7f80c498eda";"MAHARASHTRA";"NASHIK";"LASALGAON(VINCHUR)"
"6d6782333f6f64b898d965806e5a4151";"GUJARAT";"ANAND";"KHAMBHAT(GRAIN MARKET)"
"ec7cc3c4b7ded187ff10411418cf48a4";"UTTAR PRADESH";"UNKNOWN";"SULTANPUR"
"f284627bdc2f9b60a88d664abd43f508";"NAGALAND";"UNKNOWN";"UNKNOWN"
"5f577390a1ca403b9da32195c573bf03";"HIMACHAL PRADESH";"UNKNOWN";"UNKNOWN"
"a3a27200c01e67aa2f297dee93d4c54e";"ORISSA";"UNKNOWN";"SARANKUL"
"7bbb23aca686401de756f78616652338";"GUJARAT";"SURAT";"UNKNOWN"
"4b2d6cec530f55d1e3e63a1a46b894df";"UNKNOWN";"DHULE";"PRATAP NANA MAHALE KHAJGI BAJAR SAMITI"
"b57e6624e74fa49ba59f76d6b51ab1ea";"MAHARASHTRA";"SATARA";"PHALTAN"
"4170ee91f75e6c7ff971a0ae5039835c";"HARYANA";"YAMUNA NAGAR";"RADAUR"
"379df3a11611545f146e7ef1c5d407d0";"MAHARASHTRA";"AHMEDNAGAR";"SHRIRAMPUR"
"9ae7cd6d2c937f78cee4243983656425";"UNKNOWN";"UNKNOWN";"RAATH"
"d1c8598483083795eaf3f7743c33442e";"UTTAR PRADESH";"JAUNPUR";"SHAHGANJ"
"a1047e8d88884f12df9e973dddcfa8d2";"UTTAR PRADESH";"ETAWAH";"UNKNOWN"
"4d3c4d20dcddc5f6e02707454097353c";"ASSAM";"UNKNOWN";"GOLAGOKARNATH"
"e268345cc2123f596a641233bd5cc490";"NAN";"GHAZIPUR";"GAZIPUR"
"83ea1acc7989a98717a4f2fcd00f68fb";"HARYANA";"FATEHABAD";"RATIA"
"ee5a2e2b1d639e3b5d7a79d40c54f33b";"UNKNOWN";"UNKNOWN";"PORBANDAR"
"a2b4bfe58c242ba67921988d84fc1353";"UTTAR PRADESH";"SAHARANPUR";"SAHARANPUR"
"929b4b720a86a361fd2cff13ddfafd82";"UNKNOWN";"KOTA";"UNKNOWN"
"780bf217646345d4dbb253ce1642046e";"NAN";"KULLU";"UNKNOWN"
"1c7bd89b49b995f13e0318e6565b2cdc";"UNKNOWN";"TONK";"DOONI"
"db018d83b236cb4cd69c08645f09b3f6";"UNKNOWN";"MANDSAUR";"MANDSAUR"
"45ecc9611d2b0d190e01f70ae41fa5e9";"MADHYA PRADESH";"DEWAS";"UNKNOWN"
"adb535c32da5e85cb53de532f15c1922";"UNKNOWN";"KAITHAL";"DHAND"
"9ed3ab21e72c020b19b0f442d3d12b3e";"UNKNOWN";"KEONJHAR";"KEONJHAR(DHEKIKOTE)"
"07841ec07398dc7da61f73ba612f959a";"MAHARASHTRA";"UNKNOWN";"MALEGAON"
"273a994cf0be4f4e0564c994cc6b2937";"HARYANA";"ROHTAK";"ROHTAK"
"870341d60e155e076a1947a00c788dad";"GUJARAT";"DAHOD";"LIMKHEDA"
"7b242a8052d623910dff6f42416d76bf";"UTTAR PRADESH";"HARDOI";"SANDILA"
"b840332800def700dc62dda923cd2ecf";"UNKNOWN";"BULANDSHAHAR";"BULAND SHAHR"
"911e65dfeb9ba1a3e95797a9b05220d9";"ANDHRA PRADESH";"HYDERABAD";"MAHBOOB MANISON"
"e7f171bd2f7b9b63e96ef3568485cf1f";"PUNJAB";"UNKNOWN";"UNKNOWN"
"bceb471d6648a80db38615d471b9394f";"ORISSA";"KEONJHAR";"UNKNOWN"
"509f4a593ee1d7061a66c438b3e4f844";"MADHYA PRADESH";"VIDISHA";"GANJBASODA"
"ba85a267a6269906088d485581476f39";"NAN";"RATLAM";"UNKNOWN"
"b79f18d991f77ea5f61998a633d6a2b3";"UNKNOWN";"UNKNOWN";"UNKNOWN"
"1b4c2d02878a4a2254f836199879fb5d";"MAHARASHTRA";"NASHIK";"NANDGAON"
"3ca2e1070c19f50885167efbbf8870b6";"UNKNOWN";"KAUSHAMBI";"BHARWARI"
"fb712841b387da73b26bbbdf924f6b70";"UTTAR PRADESH";"GHAZIABAD";"NOIDA"
"e3b3f8516ea88b282ddd54d5da388f4f";"RAJASTHAN";"CHITTORGARH";"KAPASAN"
"4a68e330a106750fbb79e4b039d085ba";"UTTAR PRADESH";"BALLIA";"RASDA"
"8055d2e19490b3ded85086680b61a6ec";"UTTAR PRADESH";"BALLIA";"VILTHARAROAD"
"eadde7fad5d7d17d6845a0896b15af1e";"GUJARAT";"SURAT";"SURAT"
"a66cdc06556ed7f0c79607708c868984";"MADHYA PRADESH";"JABALPUR";"PAATAN"
"1e77aedfc96ed9326436cab2900c725c";"UTTAR PRADESH";"UNKNOWN";"UNKNOWN"
"412be2f67bd959ec0cc161836cf4f35a";"UTTAR PRADESH";"HARDOI";"MADHOGANJ"
"afbdca468938018b7116f45709d1602e";"HARYANA";"FARIDABAD";"UNKNOWN"
"c84dab35cc93e72bf18f553a58f23491";"UTTAR PRADESH";"UNKNOWN";"MILAK"
"cdff4e617c5907fd23c371bf24b843cd";"KERALA";"IDUKKI";"VANDIPERIYAR"
"4e7b6c25f2d8ee9a5723783205a59dc6";"WEST BENGAL";"UNKNOWN";"MOYNAGURI"
"640dceb99309d0b1be8aa4cb1ef4198b";"PUNJAB";"JALANDHAR";"UNKNOWN"
"25b528d8783a0be64e6b9785e9d56dc6";"UNKNOWN";"UNKNOWN";"MEERUT"
"0baa8937bd0a8402cb424ea036886768";"HARYANA";"UNKNOWN";"PANCHKUL(KALKA)"
"e47c1a90ec028d376599a0a126b8bcc8";"ORISSA";"DHENKANAL";"KAMAKHYANAGAR"
"1556d334da0b7eff01b208328ed8ce61";"UNKNOWN";"KAPURTHALA";"PHAGWARA"
"b0fe620e56e101f4f83cb8500fca3646";"ORISSA";"MALKANGIRI";"UNKNOWN"
"ecc8a37456087d68f8aee183475eba90";"WEST BENGAL";"UNKNOWN";"BARA BAZAR (POSTA BAZAR)"
"202c95ecf89218f3668de951a3a2ba8b";"UNKNOWN";"BETUL";"BETUL"
"912d883dd8418f0254364ffad27cf52f";"UNKNOWN";"NASHIK";"PIMPALGAON BASWANT(SAYKHEDA)"
"37b523d6a881525f1d3381a4f4948dbd";"PUNJAB";"HOSHIARPUR";"GARH SHANKAR"
"dc2a4416e9d1e3a5082ac1dfd8e8213d";"RAJASTHAN";"UNKNOWN";"UNKNOWN"
"9031cfa58945a949ca0b56485df6b7ac";"UTTAR PRADESH";"KAUSHAMBI";"BHARWARI"
"5696d01b25e77293bc0be38633d667b7";"UNKNOWN";"UNKNOWN";"FATEHABAD"
"7914f98c4800fa4bfc7bce7958e37157";"UNKNOWN";"JHANSI";"MOTH"
"17a3f6c42a159ea048ad496a8efa9bf8";"UNKNOWN";"NADIA";"KARIMPUR"
"065a745de2d45a5911929c0d3fb19cf3";"UNKNOWN";"GURGAON";"UNKNOWN"
"f84125ad58e0a4bc694a82e4af122755";"ORISSA";"BARGARH";"BARGARH(BARAPALLI)"
"12c0ebb9291b4324fd61c35f18fdb8c0";"KERALA";"UNKNOWN";"UNKNOWN"
"ac55ffdfcdc17e1b44e82ca3a2c5fbf9";"UTTAR PRADESH";"UNKNOWN";"GONDA"
"8282bbb4230dfd75632fcb6087955ea2";"UNKNOWN";"BIJNOR";"CHAANDPUR"
"de7f4f5e809c020273caaa3f0628726e";"PUNJAB";"GURDASPUR";"DINANAGAR"
"ffaa1df7aef56dfafe6709af81cd2f84";"KARNATAKA";"MANDYA";"MANDYA"
"62558fd5f8df93f1736f778b9ddaf937";"MAHARASHTRA";"UNKNOWN";"MANCHAR"
"797795cd6ef889aaaf4720214cd9e6e4";"UNKNOWN";"UNKNOWN";"CHORICHORA"
"35ac4b0ebefb014891fe423698051ec0";"MAHARASHTRA";"AHMEDNAGAR";"UNKNOWN"
"147bedf5d061c9e26ad61cb4aabc9c2c";"HARYANA";"MEWAT";"NUH"
"72fbe3bb1b0562c6acf1c6cd945d4ea6";"GUJARAT";"NAVSARI";"UNKNOWN"
"445980e7c745ad66405cdae391338d0b";"UTTAR PRADESH";"JHANSI";"UNKNOWN"
"b9e16fefca472109a5c4018923952347";"UNKNOWN";"GUNA";"MAKSUDANGARH"
"23f1000bb0d62badce79b91858188ddd";"ORISSA";"DHENKANAL";"HINDOL"
"5ab69c3802a2aaf1ef899757cd465174";"HARYANA";"PALWAL";"HASSANPUR"
"a0702ae31c59b3feb911f9eaf3a22566";"MADHYA PRADESH";"DHAR";"MANAWAR"
"d479429fee821186fc382156080a2e14";"MADHYA PRADESH";"MORENA";"SABALGARH"
"2abff30b1fe56da3dee60ac814b08984";"BIHAR";"SHEIKHPURA";"SHEKHPURA"
"9ac5c385297c75ebdad02fba4d96beec";"KARNATAKA";"KOLAR";"KOLAR"
"ad28d2fde290a19a378f39d2eab8ff1c";"PUNJAB";"LUDHIANA";"KHANNA"
